Game Type Opp.     Result OT St CTime FGM FGA 2PM 2PA 3PM 3PA FTM FTA PBM PBA InM InA 2JM 2JA OR DF TR Ast FC FD Pts InP 2CP +/- TPF TPA Tchs Pass IFC PFC IFD PFD CS
   1   RS vBRE  W(105-97)  0  1  2400   4   9   2   6   2   3  14  15   0   1   2   5   0   1  1  3  4  10  2  6  24   4   2   8 105  97   34   19   0   2   0   6  A
   5   RS @BRE   L(70-94)  0  1   600   0   3   0   1   0   2   0   0   0   0   0   1   0   0  0  1  1   0  1  0   0   0   0 -14  15  29    6    3   0   1   0   0  A
   9   RS vQUE   W(82-81)  0  1  1131   2  12   0   8   2   4   2   2   0   0   0   4   0   4  0  1  1   2  0  1   8   2   3  -6  34  40   17    4   0   0   1   0  A
  11   RS @WIL  L(95-110)  0  0   414   0   3   0   1   0   2   0   0   0   0   0   1   0   0  0  0  0   2  0  0   0   0   0 -11  15  26    5    2   0   0   0   0  A
  17   RS vBRE L(100-105)  0  0  1354   6  14   3   8   3   6   3   3   0   0   0   2   3   6  0  3  3   4  0  1  18   0   0   0  57  57   23    8   0   0   0   1  A
  23   RS @QUE W(120-119)  1  0  2100   9  11   6   7   3   4  15  17   1   1   2   2   4   5  2  3  5   5  0  6  36   6   5  15 107  92   28   11   0   0   1   5  A
  25   RS vHAR  L(92-101)  0  1  2333  11  21   5  11   6  10  12  13   0   0   3   6   2   5  1  4  5   4  1  5  40   8   3 -10  89  99   36   10   0   1   1   4  A
  33   RS vLAT   W(99-76)  0  1  1800   4   9   3   6   1   3   4   5   0   0   0   1   3   5  2  2  4   3  0  2  13   0   0  23  75  52   18    7   0   0   0   2  A
  41   RS vWIL   W(77-74)  0  1  1095   1   6   1   4   0   2   0   0   0   0   0   1   1   3  0  2  2   1  1  0   2   0   2  -2  39  41   10    4   0   1   0   0  A
  43   RS @WIL W(111-101)  0  1  1800   6  14   2   8   4   6  10  11   0   1   1   4   1   4  1  6  7   2  3  4  26   2   0  20  91  71   21    3   1   2   0   4  A
  49   RS vWIL   W(85-84)  0  1  2400   7  17   4  11   3   6  12  14   1   2   3   8   1   3  3  2  5   9  3  6  29   6   2   1  85  84   37   14   2   1   0   6  A
