Game Type Conf-Type Home Away   Score OT       HomeRecord      H-L10 H-Streak H-Conf-TypeRecord       AwayRecord      A-L10 A-Conf-TypeRecord A-Streak        SeasonH2H   H2HL10 H2HStreak           AllTimeH2H 
   1   RS     Intra  CRO  BRE  105-97  0       1-0(H:1-0)          W       W1        1-0(H:1-0)       0-1(A:0-1)          L        0-1(A:0-1)      L-1   CRO:1-0(H:1-0)  CRO:1-0    CRO:W1       CRO:1-0(H:1-0) 
   2   RS     Intra  LAT  RAY  107-99  0       1-0(H:1-0)          W       W1        1-0(H:1-0)       0-1(A:0-1)          L        0-1(A:0-1)      L-1   LAT:1-0(H:1-0)  LAT:1-0    LAT:W1       LAT:1-0(H:1-0) 
   3   RS     Intra  WIL  BRE   93-74  0       1-0(H:1-0)          W       W1        1-0(H:1-0)       0-2(A:0-2)         LL        0-2(A:0-2)      L-1   WIL:1-0(H:1-0)  WIL:1-0    WIL:W1       WIL:1-0(H:1-0) 
   4   RS     Intra  RAY  LAT  114-95  0       1-1(H:1-0)         LW       W1        1-1(H:1-0)       1-1(A:0-1)         WL        1-1(A:0-1)      L-1   RAY:1-1(H:1-0)  RAY:1-1    RAY:W1       RAY:1-1(H:1-0) 
   5   RS     Intra  BRE  CRO   94-70  0       1-2(H:1-0)        LLW       W1        1-2(H:1-0)       1-1(A:0-1)         WL        1-1(A:0-1)      L-1   BRE:1-1(H:1-0)  BRE:1-1    BRE:W1       BRE:1-1(H:1-0) 
   6   RS     Intra  HAR  LAT   96-65  0       1-0(H:1-0)          W       W1        1-0(H:1-0)       1-2(A:0-2)        WLL        1-2(A:0-2)      L-1   HAR:1-0(H:1-0)  HAR:1-0    HAR:W1       HAR:1-0(H:1-0) 
   7   RS     Intra  QUE  BRE  102-96  0       1-0(H:1-0)          W       W1        1-0(H:1-0)       1-3(A:0-3)       LLWL        1-3(A:0-3)      L-1   QUE:1-0(H:1-0)  QUE:1-0    QUE:W1       QUE:1-0(H:1-0) 
   8   RS     Intra  KEN  RAY   79-99  0       0-1(H:0-1)          L       L1        0-1(H:0-1)       2-1(A:1-1)        LWW        2-1(A:1-1)      W-1   RAY:1-0(H:0-0)  RAY:1-0    RAY:W1       RAY:1-0(H:0-0) 
   9   RS     Intra  CRO  QUE   82-81  0       2-1(H:2-0)        WLW       W1        2-1(H:2-0)       1-1(A:0-1)         WL        1-1(A:0-1)      L-1   CRO:1-0(H:1-0)  CRO:1-0    CRO:W1       CRO:1-0(H:1-0) 
  10   RS     Intra  LAT  HAR   86-90  0       1-3(H:1-1)       WLLL       L3        1-3(H:1-1)       2-0(A:1-0)         WW        2-0(A:1-0)      W-3   HAR:2-0(H:1-0)  HAR:2-0    HAR:W2       HAR:2-0(H:1-0) 
  11   RS     Intra  WIL  CRO  110-95  0       2-0(H:2-0)         WW       W2        2-0(H:2-0)       2-2(A:0-2)       WLWL        2-2(A:0-2)      L-2   WIL:1-0(H:1-0)  WIL:1-0    WIL:W1       WIL:1-0(H:1-0) 
  12   RS     Intra  RAY  LAT  77-107  0       2-2(H:1-1)       LWWL       L1        2-2(H:1-1)       2-3(A:1-2)      WLLLW        2-3(A:1-2)      W-1   LAT:2-1(H:1-0)  LAT:2-1    LAT:W1       LAT:2-1(H:1-0) 
  13   RS     Intra  BRE  WIL  111-99  0       2-3(H:2-0)      LLWLW       W1        2-3(H:2-0)       2-1(A:0-1)        WWL        2-1(A:0-1)      L-1   BRE:1-1(H:1-0)  BRE:1-1    BRE:W1       BRE:1-1(H:1-0) 
  14   RS     Intra  HAR  RAY   78-91  0       2-1(H:1-1)        WWL       L1        2-1(H:1-1)       3-1(A:2-1)       LWWW        3-1(A:2-1)      W-1   RAY:1-0(H:0-0)  RAY:1-0    RAY:W1       RAY:1-0(H:0-0) 
  15   RS     Intra  QUE  WIL  89-101  0       1-2(H:1-1)        WLL       L2        1-2(H:1-1)       3-1(A:1-1)       WWLW        3-1(A:1-1)      W-2   WIL:1-0(H:0-0)  WIL:1-0    WIL:W1       WIL:1-0(H:0-0) 
